SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
GODREJPROP, EQ, 10-Jun-2019, 869.15, 874.55, 899.00, 857.00, 897.20, 892.25, 880.81, 250395, 2205.51, 10992, 73858, 29.50
GOENKA, BZ, 10-Jun-2019, 0.35, 0.30, 0.35, 0.30, 0.30, 0.30, 0.30, 74154, 0.23, 32, -, -
GOKEX, EQ, 10-Jun-2019, 97.15, 98.65, 101.85, 94.25, 97.00, 97.15, 97.33, 88451, 86.09, 1288, 40461, 45.74
GOKUL, BE, 10-Jun-2019, 14.75, 14.25, 15.00, 14.25, 14.75, 14.75, 14.91, 14746, 2.20, 52, -, -
GOKULAGRO, EQ, 10-Jun-2019, 14.60, 14.90, 14.95, 14.40, 14.80, 14.75, 14.63, 66094, 9.67, 189, 19678, 29.77
GOLDBEES, EQ, 10-Jun-2019, 2890.65, 2882.95, 2899.00, 2877.00, 2880.00, 2879.55, 2886.92, 17588, 507.75, 1567, 8511, 48.39
GOLDENTOBC, EQ, 10-Jun-2019, 35.45, 36.00, 37.40, 34.75, 34.90, 34.90, 35.72, 1689, 0.60, 23, 597, 35.35
GOLDIAM, EQ, 10-Jun-2019, 106.80, 107.70, 114.90, 106.55, 111.50, 112.30, 111.02, 177775, 197.36, 3619, 56318, 31.68
GOLDSHARE, EQ, 10-Jun-2019, 2909.45, 2900.00, 2910.05, 2882.00, 2882.00, 2889.45, 2894.55, 862, 24.95, 117, 500, 58.00
GOLDTECH, EQ, 10-Jun-2019, 12.35, 12.80, 12.80, 10.80, 11.00, 11.00, 11.48, 27350, 3.14, 197, 19025, 69.56
GOODLUCK, EQ, 10-Jun-2019, 67.25, 67.25, 67.95, 67.05, 67.50, 67.55, 67.47, 16725, 11.28, 216, 12698, 75.92
GPIL, EQ, 10-Jun-2019, 247.35, 249.05, 255.00, 242.75, 245.00, 245.70, 249.58, 64513, 161.01, 1997, 33472, 51.88
GPPL, EQ, 10-Jun-2019, 84.70, 84.55, 85.70, 83.00, 83.90, 83.60, 83.88, 71402, 59.89, 1045, 61762, 86.50
GPTINFRA, EQ, 10-Jun-2019, 49.85, 54.80, 54.80, 47.15, 48.50, 48.60, 48.92, 2346, 1.15, 18, 489, 20.84
GRANULES, EQ, 10-Jun-2019, 105.80, 106.20, 107.95, 106.00, 106.40, 107.15, 107.08, 287768, 308.13, 4622, 147117, 51.12
GRAPHITE, EQ, 10-Jun-2019, 413.00, 417.60, 421.20, 410.00, 412.00, 412.15, 413.37, 626692, 2590.56, 18481, 256154, 40.87
GRASIM, EQ, 10-Jun-2019, 871.45, 876.80, 884.45, 864.85, 882.90, 880.95, 876.83, 1270546, 11140.47, 39494, 455181, 35.83
GRAVITA, EQ, 10-Jun-2019, 69.15, 69.25, 70.15, 66.05, 66.10, 66.55, 67.70, 48047, 32.53, 811, 32793, 68.25
GREAVESCOT, EQ, 10-Jun-2019, 152.15, 152.40, 152.90, 149.25, 150.00, 150.00, 150.18, 171817, 258.03, 6124, 117828, 68.58
GREENLAM, EQ, 10-Jun-2019, 848.50, 859.95, 862.45, 840.00, 840.00, 840.45, 844.63, 1572, 13.28, 90, 1428, 90.84
GREENPLY, EQ, 10-Jun-2019, 158.65, 158.65, 167.80, 158.65, 164.90, 165.55, 163.96, 46568, 76.35, 1495, 30673, 65.87
GREENPOWER, BE, 10-Jun-2019, 4.20, 4.25, 4.40, 4.20, 4.40, 4.35, 4.34, 119232, 5.17, 138, -, -
GRINDWELL, EQ, 10-Jun-2019, 593.25, 600.00, 607.50, 590.45, 593.95, 594.05, 594.73, 2641, 15.71, 612, 1114, 42.18
GROBTEA, EQ, 10-Jun-2019, 386.60, 397.80, 397.85, 361.00, 370.00, 370.45, 374.17, 96, 0.36, 24, 54, 56.25
GRPLTD, EQ, 10-Jun-2019, 1074.90, 1028.40, 1073.95, 1028.40, 1031.00, 1037.85, 1038.65, 106, 1.10, 10, 100, 94.34
