SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 10-Jun-2019, 37.85, 37.50, 38.90, 37.45, 37.55, 37.80, 37.84, 20994, 7.94, 346, 10445, 49.75
21STCENMGM, EQ, 10-Jun-2019, 18.00, 18.00, 18.00, 17.65, 17.65, 17.65, 17.72, 621, 0.11, 18, 621, 100.00
3IINFOTECH, EQ, 10-Jun-2019, 3.35, 3.35, 3.40, 3.30, 3.35, 3.30, 3.33, 991389, 33.01, 451, 680928, 68.68
3MINDIA, EQ, 10-Jun-2019, 22497.55, 22497.55, 22699.95, 22395.00, 22601.00, 22608.20, 22506.71, 1493, 336.03, 464, 1038, 69.52
3PLAND, BE, 10-Jun-2019, 9.50, 9.05, 9.95, 9.05, 9.95, 9.95, 9.66, 1560, 0.15, 8, -, -
5PAISA, EQ, 10-Jun-2019, 210.70, 211.50, 218.85, 205.05, 208.50, 210.50, 212.64, 5677, 12.07, 497, 3010, 53.02
63MOONS, EQ, 10-Jun-2019, 116.80, 113.50, 116.45, 111.00, 111.00, 111.00, 112.71, 107862, 121.57, 1946, 64869, 60.14
8KMILES, EQ, 10-Jun-2019, 93.60, 95.00, 95.55, 92.20, 92.75, 93.00, 93.41, 56654, 52.92, 941, 31440, 55.49
A2ZINFRA, EQ, 10-Jun-2019, 15.45, 15.50, 15.75, 14.55, 15.20, 15.25, 14.99, 173920, 26.07, 686, 123652, 71.10
AARON, SM, 10-Jun-2019, 46.25, 47.50, 47.50, 47.50, 47.50, 47.50, 47.50, 3000, 1.43, 1, 3000, 100.00
AARTIDRUGS, EQ, 10-Jun-2019, 536.75, 538.00, 546.00, 536.30, 542.00, 543.50, 540.84, 10235, 55.36, 902, 7507, 73.35
AARTIIND, EQ, 10-Jun-2019, 1783.70, 1794.80, 1812.00, 1736.15, 1740.00, 1744.60, 1760.74, 142500, 2509.06, 8300, 103851, 72.88
AARVEEDEN, EQ, 10-Jun-2019, 22.65, 23.10, 23.10, 22.50, 22.95, 22.75, 22.64, 4059, 0.92, 40, 3286, 80.96
AARVI, SM, 10-Jun-2019, 34.90, 35.00, 35.00, 35.00, 35.00, 35.00, 35.00, 4000, 1.40, 2, 4000, 100.00
AAVAS, EQ, 10-Jun-2019, 1413.80, 1412.70, 1429.95, 1386.00, 1391.00, 1393.55, 1396.33, 37658, 525.83, 5649, 27006, 71.71
ABAN, BE, 10-Jun-2019, 46.40, 47.50, 47.50, 44.85, 45.35, 45.30, 45.67, 44269, 20.22, 584, -, -
ABB, EQ, 10-Jun-2019, 1564.15, 1563.15, 1629.00, 1552.20, 1564.40, 1563.40, 1592.52, 196369, 3127.22, 12114, 59357, 30.23
ABBOTINDIA, EQ, 10-Jun-2019, 7965.35, 7965.00, 8340.00, 7920.15, 8330.00, 8282.45, 8171.88, 11342, 926.85, 2813, 6289, 55.45
ABCAPITAL, EQ, 10-Jun-2019, 99.05, 99.70, 100.00, 96.00, 96.95, 97.10, 97.94, 1264208, 1238.15, 11730, 642832, 50.85
ABFRL, EQ, 10-Jun-2019, 218.20, 217.10, 222.50, 216.00, 219.20, 220.50, 219.88, 614270, 1350.64, 9836, 346368, 56.39
ABSLNN50ET, EQ, 10-Jun-2019, 274.01, 275.73, 275.73, 274.14, 275.03, 275.03, 274.77, 206, 0.57, 9, 204, 99.03
ACC, EQ, 10-Jun-2019, 1596.50, 1608.90, 1614.85, 1584.00, 1588.95, 1589.40, 1595.39, 433071, 6909.16, 18511, 46505, 10.74
ACCELYA, EQ, 10-Jun-2019, 879.05, 879.10, 896.50, 879.10, 895.00, 889.25, 891.22, 1455, 12.97, 256, 1142, 78.49
ACCURACY, SM, 10-Jun-2019, 63.90, 60.75, 60.75, 60.75, 60.75, 60.75, 60.75, 1600, 0.97, 1, 1600, 100.00
ACE, EQ, 10-Jun-2019, 100.65, 101.00, 102.45, 100.00, 100.05, 100.35, 100.68, 91449, 92.07, 715, 66653, 72.89
ADANIENT, EQ, 10-Jun-2019, 151.35, 152.00, 155.50, 147.00, 150.10, 149.95, 150.98, 3967379, 5989.96, 23758, 376103, 9.48
ADANIGAS, EQ, 10-Jun-2019, 169.90, 171.60, 173.55, 169.50, 170.40, 170.65, 171.46, 585996, 1004.72, 5635, 176125, 30.06
ADANIGREEN, EQ, 10-Jun-2019, 43.25, 43.95, 44.10, 42.80, 42.95, 42.90, 43.35, 572040, 247.97, 2619, 303291, 53.02
ADANIPORTS, EQ, 10-Jun-2019, 425.20, 424.10, 429.50, 420.60, 425.60, 425.75, 424.69, 2374282, 10083.37, 29176, 665361, 28.02
ADANIPOWER, EQ, 10-Jun-2019, 47.35, 47.55, 48.35, 46.35, 47.55, 47.35, 47.32, 7790036, 3686.09, 15887, 851002, 10.92
ADANITRANS, EQ, 10-Jun-2019, 222.60, 224.00, 229.20, 221.80, 226.60, 224.95, 225.41, 48964, 110.37, 2397, 23164, 47.31
ADFFOODS, EQ, 10-Jun-2019, 287.55, 289.50, 298.90, 284.20, 296.50, 296.55, 294.51, 86153, 253.73, 1832, 28668, 33.28
ADHUNIK, BE, 10-Jun-2019, 1.75, 1.75, 1.80, 1.70, 1.70, 1.70, 1.73, 32389, 0.56, 35, -, -
ADHUNIKIND, EQ, 10-Jun-2019, 82.75, 84.00, 85.00, 82.90, 82.90, 83.60, 83.84, 7870, 6.60, 72, 6403, 81.36
ADLABS, EQ, 10-Jun-2019, 7.20, 7.05, 7.20, 5.80, 6.15, 6.05, 6.02, 1362457, 81.99, 1690, 754359, 55.37
ADORWELD, EQ, 10-Jun-2019, 352.60, 353.10, 358.00, 346.00, 346.70, 347.00, 349.55, 2568, 8.98, 184, 1895, 73.79
ADROITINFO, BE, 10-Jun-2019, 13.50, 13.00, 13.00, 13.00, 13.00, 13.00, 13.00, 5, 0.00, 2, -, -
ADSL, EQ, 10-Jun-2019, 16.50, 16.20, 16.75, 15.50, 15.95, 15.80, 15.94, 6283, 1.00, 46, 4852, 77.22
ADVANIHOTR, EQ, 10-Jun-2019, 63.80, 63.65, 64.90, 63.10, 63.15, 64.20, 63.84, 3590, 2.29, 65, 1035, 28.83
ADVENZYMES, EQ, 10-Jun-2019, 210.20, 210.00, 211.85, 183.00, 194.00, 194.80, 193.34, 619693, 1198.13, 10137, 172664, 27.86
AEGISCHEM, EQ, 10-Jun-2019, 222.20, 221.00, 224.00, 217.00, 222.45, 220.90, 221.40, 130143, 288.13, 5939, 70488, 54.16
AGARIND, EQ, 10-Jun-2019, 148.60, 148.60, 149.90, 140.05, 142.25, 142.00, 145.35, 2645, 3.84, 100, 2161, 81.70
AGCNET, EQ, 10-Jun-2019, 110.50, 110.15, 114.00, 110.00, 110.00, 110.00, 110.05, 1932, 2.13, 38, 1477, 76.45
AGLSL, EQ, 10-Jun-2019, 56.85, 57.90, 57.95, 55.10, 55.10, 55.10, 55.43, 3056, 1.69, 15, 3039, 99.44
AGRITECH, EQ, 10-Jun-2019, 57.60, 57.05, 58.00, 52.50, 52.85, 53.25, 54.98, 33900, 18.64, 663, 27002, 79.65
AGROPHOS, BE, 10-Jun-2019, 79.55, 79.80, 80.00, 79.50, 80.00, 80.00, 79.95, 24164, 19.32, 51, -, -
AHIMSA, SM, 10-Jun-2019, 29.75, 30.35, 30.35, 30.35, 30.35, 30.35, 30.35, 12000, 3.64, 2, 12000, 100.00
AHLEAST, EQ, 10-Jun-2019, 197.90, 193.60, 199.80, 193.55, 195.10, 195.15, 195.71, 2015, 3.94, 106, 1635, 81.14
AHLUCONT, EQ, 10-Jun-2019, 341.70, 344.90, 352.00, 330.15, 338.90, 339.05, 340.31, 4831, 16.44, 482, 2177, 45.06
AHLWEST, EQ, 10-Jun-2019, 337.65, 334.80, 346.85, 334.80, 346.85, 346.85, 345.34, 8, 0.03, 3, 8, 100.00
AIAENG, EQ, 10-Jun-2019, 1826.55, 1826.55, 1845.00, 1820.05, 1845.00, 1842.10, 1838.22, 10038, 184.52, 939, 4433, 44.16
AIFL, BZ, 10-Jun-2019, 4.95, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4864, 0.23, 17, -, -
AIONJSW, EQ, 10-Jun-2019, 20.45, 20.45, 20.85, 20.00, 20.30, 20.20, 20.18, 19009, 3.84, 124, 17037, 89.63
AIRAN, EQ, 10-Jun-2019, 30.45, 29.15, 31.00, 29.15, 30.30, 29.90, 29.94, 11465, 3.43, 89, 11122, 97.01
AIROLAM, SM, 10-Jun-2019, 30.50, 30.00, 30.00, 30.00, 30.00, 30.00, 30.00, 3000, 0.90, 1, 3000, 100.00
AJANTPHARM, EQ, 10-Jun-2019, 1001.65, 1006.80, 1030.00, 1001.70, 1020.10, 1019.65, 1014.26, 186241, 1888.97, 7694, 29837, 16.02
AJMERA, EQ, 10-Jun-2019, 177.15, 178.25, 180.90, 173.05, 174.25, 175.30, 176.98, 30590, 54.14, 850, 14627, 47.82
AKSHARCHEM, EQ, 10-Jun-2019, 305.45, 303.80, 305.95, 297.15, 297.15, 298.70, 301.66, 1647, 4.97, 124, 1225, 74.38
AKSHOPTFBR, EQ, 10-Jun-2019, 12.90, 13.30, 13.30, 12.45, 12.45, 12.55, 12.75, 417629, 53.25, 1155, 279382, 66.90
AKZOINDIA, EQ, 10-Jun-2019, 1768.20, 1784.60, 1790.00, 1760.00, 1784.90, 1784.70, 1780.77, 2419, 43.08, 387, 1724, 71.27
ALANKIT, EQ, 10-Jun-2019, 36.55, 36.90, 37.35, 34.45, 34.45, 34.85, 36.32, 536256, 194.76, 2735, 111607, 20.81
ALBERTDAVD, EQ, 10-Jun-2019, 427.30, 423.50, 429.85, 413.20, 419.00, 418.10, 420.31, 2592, 10.89, 153, 1869, 72.11
ALBK, EQ, 10-Jun-2019, 41.55, 42.05, 42.30, 39.80, 40.60, 40.55, 40.77, 5400145, 2201.52, 12936, 707870, 13.11
ALCHEM, BE, 10-Jun-2019, 1.70, 1.70, 1.70, 1.65, 1.65, 1.65, 1.65, 6611, 0.11, 14, -, -
ALEMBICLTD, EQ, 10-Jun-2019, 44.95, 45.25, 45.25, 42.50, 43.35, 43.55, 43.52, 101380, 44.12, 785, 57224, 56.45
ALICON, EQ, 10-Jun-2019, 587.75, 593.30, 605.00, 576.50, 576.50, 578.50, 595.12, 1960, 11.66, 216, 1359, 69.34
ALKALI, EQ, 10-Jun-2019, 45.25, 44.25, 45.75, 43.70, 44.50, 44.50, 44.53, 5250, 2.34, 152, 4899, 93.31
ALKEM, EQ, 10-Jun-2019, 1817.70, 1817.70, 1824.55, 1782.35, 1795.00, 1796.80, 1800.56, 12223, 220.08, 2424, 5102, 41.74
ALKYLAMINE, EQ, 10-Jun-2019, 819.70, 809.00, 838.10, 809.00, 828.50, 826.45, 828.67, 3292, 27.28, 185, 2815, 85.51
ALLCARGO, EQ, 10-Jun-2019, 108.20, 108.25, 109.25, 105.20, 106.15, 105.80, 106.64, 54391, 58.00, 1089, 28809, 52.97
ALLSEC, BE, 10-Jun-2019, 308.30, 310.00, 310.00, 304.05, 305.15, 305.20, 305.30, 4792, 14.63, 30, -, -
ALMONDZ, EQ, 10-Jun-2019, 22.75, 23.00, 24.20, 20.80, 24.00, 23.75, 23.42, 35341, 8.28, 401, 24040, 68.02
ALOKTEXT, BE, 10-Jun-2019, 3.80, 3.80, 3.80, 3.70, 3.80, 3.80, 3.75, 836860, 31.40, 564, -, -
ALPA, EQ, 10-Jun-2019, 22.05, 22.15, 22.70, 21.30, 22.10, 22.20, 22.15, 25617, 5.67, 323, 11910, 46.49
ALPHAGEO, EQ, 10-Jun-2019, 454.25, 454.25, 465.00, 451.25, 457.00, 457.35, 457.72, 2780, 12.72, 309, 1637, 58.88
ALPSINDUS, BE, 10-Jun-2019, 1.00, 1.05, 1.05, 0.95, 1.00, 0.95, 1.02, 761, 0.01, 7, -, -
AMARAJABAT, EQ, 10-Jun-2019, 618.55, 621.00, 634.50, 619.90, 633.30, 632.55, 627.00, 416409, 2610.87, 16629, 202818, 48.71
AMBER, EQ, 10-Jun-2019, 822.00, 816.00, 821.05, 808.00, 809.60, 812.25, 813.59, 5433, 44.20, 384, 3472, 63.91
AMBIKCO, EQ, 10-Jun-2019, 1084.95, 1090.00, 1105.00, 1085.05, 1087.00, 1089.90, 1091.22, 1568, 17.11, 180, 1239, 79.02
AMBUJACEM, EQ, 10-Jun-2019, 222.25, 222.45, 225.00, 221.75, 223.00, 223.10, 223.43, 2438810, 5449.03, 31382, 845112, 34.65
AMDIND, EQ, 10-Jun-2019, 18.90, 18.95, 19.65, 18.60, 18.65, 18.65, 18.80, 2404, 0.45, 18, 2282, 94.93
AMJLAND, EQ, 10-Jun-2019, 18.80, 18.85, 19.05, 18.70, 18.70, 18.80, 18.88, 2009, 0.38, 19, 1869, 93.03
AMRUTANJAN, EQ, 10-Jun-2019, 326.30, 329.90, 336.40, 324.30, 325.40, 326.60, 328.47, 23900, 78.51, 1558, 6921, 28.96
ANANTRAJ, EQ, 10-Jun-2019, 31.30, 31.75, 32.20, 30.40, 30.70, 30.65, 30.98, 266485, 82.54, 831, 171112, 64.21
ANDHRABANK, EQ, 10-Jun-2019, 23.95, 24.05, 24.60, 23.75, 23.95, 23.95, 24.00, 622834, 149.46, 2935, 343056, 55.08
ANDHRACEMT, BE, 10-Jun-2019, 4.55, 4.45, 4.50, 4.35, 4.35, 4.35, 4.38, 26487, 1.16, 60, -, -
ANDHRSUGAR, EQ, 10-Jun-2019, 344.70, 348.05, 350.10, 322.20, 342.00, 342.00, 343.22, 43584, 149.59, 1500, 16599, 38.09
ANIKINDS, EQ, 10-Jun-2019, 13.85, 13.95, 14.25, 13.20, 13.85, 13.80, 13.89, 3757, 0.52, 44, 3403, 90.58
ANKITMETAL, BE, 10-Jun-2019, 0.45, 0.45, 0.50, 0.45, 0.45, 0.45, 0.50, 8636, 0.04, 17, -, -
ANSALAPI, EQ, 10-Jun-2019, 8.00, 8.05, 8.15, 6.50, 6.70, 6.95, 6.89, 609692, 41.98, 1364, 290496, 47.65
ANSALHSG, EQ, 10-Jun-2019, 8.65, 8.65, 8.75, 7.65, 7.95, 7.95, 8.10, 266706, 21.61, 874, 134584, 50.46
ANTGRAPHIC, BE, 10-Jun-2019, 1.00, 1.05, 1.05, 0.95, 1.05, 1.05, 1.02, 219834, 2.25, 196, -, -
ANUP, EQ, 10-Jun-2019, 487.55, 487.55, 499.00, 485.00, 497.00, 495.35, 492.79, 9160, 45.14, 565, 7770, 84.83
APARINDS, EQ, 10-Jun-2019, 644.40, 654.40, 654.40, 633.00, 633.00, 637.50, 643.13, 3177, 20.43, 392, 1539, 48.44
APCL, EQ, 10-Jun-2019, 171.05, 170.55, 176.40, 170.50, 175.80, 173.90, 172.91, 2562, 4.43, 73, 2016, 78.69
APCOTEXIND, EQ, 10-Jun-2019, 550.30, 550.30, 558.00, 548.85, 550.05, 553.50, 553.74, 6990, 38.71, 314, 5183, 74.15
APEX, EQ, 10-Jun-2019, 277.65, 278.00, 279.60, 270.00, 272.35, 274.75, 273.63, 63510, 173.78, 2453, 27410, 43.16
APLAPOLLO, EQ, 10-Jun-2019, 1589.35, 1607.95, 1620.00, 1562.20, 1590.00, 1580.45, 1589.61, 9277, 147.47, 1769, 5640, 60.80
APLLTD, EQ, 10-Jun-2019, 504.45, 504.45, 509.00, 496.20, 503.95, 500.95, 501.50, 12710, 63.74, 909, 8809, 69.31
APOLLO, EQ, 10-Jun-2019, 122.90, 123.00, 130.00, 120.55, 124.00, 123.75, 126.11, 22033, 27.79, 711, 10267, 46.60
APOLLOHOSP, EQ, 10-Jun-2019, 1398.20, 1400.00, 1402.50, 1368.25, 1386.05, 1379.10, 1384.20, 731973, 10131.96, 32379, 145827, 19.92
APOLLOTYRE, EQ, 10-Jun-2019, 192.20, 193.00, 195.00, 190.80, 194.70, 194.20, 193.17, 1857605, 3588.29, 31297, 464194, 24.99
APOLSINHOT, EQ, 10-Jun-2019, 923.50, 945.95, 946.00, 924.95, 943.00, 932.90, 931.41, 259, 2.41, 32, 63, 24.32
APTECHT, EQ, 10-Jun-2019, 151.30, 152.70, 152.90, 146.30, 147.50, 147.90, 148.82, 94803, 141.09, 2336, 31084, 32.79
ARCHIDPLY, EQ, 10-Jun-2019, 37.55, 37.10, 38.40, 36.00, 36.00, 36.35, 36.83, 15815, 5.82, 383, 12527, 79.21
ARCHIES, EQ, 10-Jun-2019, 22.35, 22.60, 22.65, 22.05, 22.15, 22.10, 22.35, 9509, 2.13, 148, 3947, 41.51
ARCOTECH, BE, 10-Jun-2019, 3.85, 3.95, 4.00, 3.70, 3.70, 3.70, 3.75, 56664, 2.13, 109, -, -
ARIES, EQ, 10-Jun-2019, 71.05, 74.95, 74.95, 68.00, 69.00, 69.25, 69.81, 21752, 15.19, 392, 15316, 70.41
ARIHANT, EQ, 10-Jun-2019, 27.35, 27.10, 30.60, 27.10, 28.55, 28.55, 29.26, 12782, 3.74, 52, 1965, 15.37
ARIHANTSUP, BE, 10-Jun-2019, 62.40, 60.50, 63.00, 60.50, 62.25, 62.20, 62.14, 18633, 11.58, 68, -, -
ARMANFIN, EQ, 10-Jun-2019, 396.65, 405.00, 415.00, 402.00, 413.00, 411.80, 409.85, 2995, 12.27, 122, 2220, 74.12
AROGRANITE, EQ, 10-Jun-2019, 50.80, 51.60, 52.75, 50.00, 50.15, 50.40, 50.80, 8509, 4.32, 156, 3768, 44.28
ARROWGREEN, EQ, 10-Jun-2019, 58.60, 60.00, 60.90, 54.25, 54.35, 55.00, 56.23, 14290, 8.03, 285, 9531, 66.70
ARROWTEX, EQ, 10-Jun-2019, 16.20, 16.00, 16.80, 15.95, 16.00, 15.95, 15.98, 2325, 0.37, 33, 1661, 71.44
ARSHIYA, EQ, 10-Jun-2019, 27.45, 29.20, 29.20, 25.45, 25.65, 25.90, 26.44, 107001, 28.29, 520, 65671, 61.37
ARSSINFRA, BE, 10-Jun-2019, 39.10, 41.00, 41.00, 38.00, 38.50, 38.20, 39.01, 5177, 2.02, 43, -, -
ARTNIRMAN, SM, 10-Jun-2019, 23.50, 18.90, 22.65, 18.90, 22.60, 22.60, 21.38, 18000, 3.85, 3, 0, 0.00
ARVIND, EQ, 10-Jun-2019, 72.35, 72.35, 73.20, 71.05, 72.75, 72.45, 72.08, 1233705, 889.24, 6759, 196402, 15.92
ARVINDFASN, EQ, 10-Jun-2019, 797.20, 801.00, 801.00, 751.00, 760.05, 761.25, 762.86, 27950, 213.22, 2744, 19427, 69.51
ARVSMART, EQ, 10-Jun-2019, 113.20, 114.45, 114.45, 111.10, 112.00, 112.25, 112.37, 3845, 4.32, 219, 2762, 71.83
ASAHIINDIA, EQ, 10-Jun-2019, 232.90, 232.00, 236.90, 225.05, 225.05, 227.05, 227.28, 33430, 75.98, 1092, 26098, 78.07
ASAHISONG, EQ, 10-Jun-2019, 148.30, 156.75, 158.00, 140.00, 140.70, 141.85, 146.60, 6110, 8.96, 213, 4983, 81.55
ASAL, EQ, 10-Jun-2019, 49.90, 50.55, 52.30, 48.40, 48.40, 48.75, 49.44, 3239, 1.60, 56, 2969, 91.66
ASHAPURMIN, BE, 10-Jun-2019, 21.55, 20.55, 22.20, 20.50, 20.50, 20.50, 20.57, 13979, 2.88, 81, -, -
ASHIANA, EQ, 10-Jun-2019, 127.30, 127.00, 129.25, 123.00, 123.20, 123.75, 125.19, 34441, 43.12, 584, 27715, 80.47
ASHIMASYN, EQ, 10-Jun-2019, 11.05, 11.00, 11.50, 10.55, 11.00, 10.95, 11.05, 20628, 2.28, 332, 8298, 40.23
ASHOKA, EQ, 10-Jun-2019, 142.65, 145.70, 145.70, 138.25, 138.25, 140.15, 141.72, 125660, 178.08, 2629, 72002, 57.30
ASHOKLEY, EQ, 10-Jun-2019, 90.00, 91.45, 91.60, 89.25, 90.90, 90.70, 90.37, 15352497, 13873.85, 55672, 3111612, 20.27
ASIANHOTNR, EQ, 10-Jun-2019, 127.75, 131.00, 131.00, 124.00, 124.00, 124.00, 126.44, 1961, 2.48, 61, 1135, 57.88
ASIANPAINT, EQ, 10-Jun-2019, 1418.35, 1429.00, 1442.00, 1418.50, 1422.60, 1422.60, 1430.30, 800967, 11456.20, 51673, 319541, 39.89
ASIANTILES, EQ, 10-Jun-2019, 254.70, 251.50, 261.90, 251.50, 261.00, 260.40, 258.91, 211151, 546.69, 1666, 93874, 44.46
ASPINWALL, EQ, 10-Jun-2019, 151.85, 158.00, 158.00, 150.00, 150.00, 150.05, 151.22, 1386, 2.10, 47, 1171, 84.49
ASSAMCO, BE, 10-Jun-2019, 1.45, 1.40, 1.50, 1.40, 1.40, 1.40, 1.41, 479366, 6.74, 185, -, -
ASTEC, EQ, 10-Jun-2019, 458.00, 455.00, 459.00, 443.00, 444.00, 444.10, 448.53, 6467, 29.01, 355, 4468, 69.09
ASTERDM, EQ, 10-Jun-2019, 139.15, 138.00, 140.30, 130.30, 131.00, 131.20, 133.65, 32577, 43.54, 1065, 20570, 63.14
ASTRAL, EQ, 10-Jun-2019, 1331.25, 1333.00, 1349.65, 1311.05, 1346.00, 1341.20, 1330.79, 28991, 385.81, 3424, 17292, 59.65
ASTRAMICRO, EQ, 10-Jun-2019, 88.45, 89.95, 91.90, 89.10, 91.25, 90.75, 90.72, 472007, 428.18, 2407, 193356, 40.96
ASTRAZEN, EQ, 10-Jun-2019, 1858.25, 1859.00, 1901.90, 1850.25, 1894.00, 1889.50, 1880.24, 8712, 163.81, 1850, 4202, 48.23
ASTRON, EQ, 10-Jun-2019, 109.15, 109.10, 110.55, 104.20, 105.50, 105.80, 107.12, 374891, 401.59, 1371, 289933, 77.34
ATFL, EQ, 10-Jun-2019, 541.45, 545.00, 548.95, 535.10, 535.10, 536.85, 544.59, 4300, 23.42, 505, 2360, 54.88
ATLANTA, EQ, 10-Jun-2019, 13.30, 13.40, 14.50, 12.00, 12.10, 12.10, 12.66, 117435, 14.87, 669, 80438, 68.50
ATLASCYCLE, BE, 10-Jun-2019, 44.65, 46.00, 46.00, 44.00, 44.95, 44.95, 44.55, 4180, 1.86, 60, -, -
ATNINTER, BE, 10-Jun-2019, 0.15, 0.15, 0.15, 0.10, 0.10, 0.10, 0.14, 1394, 0.00, 10, -, -
ATUL, EQ, 10-Jun-2019, 4033.75, 4043.95, 4093.90, 4012.05, 4084.00, 4043.15, 4056.89, 9501, 385.44, 2147, 5035, 52.99
ATULAUTO, EQ, 10-Jun-2019, 294.00, 295.00, 301.90, 285.10, 286.05, 287.20, 293.32, 16477, 48.33, 785, 7648, 46.42
AUBANK, EQ, 10-Jun-2019, 705.85, 707.00, 708.00, 703.00, 708.00, 706.65, 705.42, 68741, 484.91, 12889, 46789, 68.07
AURIONPRO, EQ, 10-Jun-2019, 127.30, 129.75, 129.75, 125.00, 125.05, 125.35, 127.22, 10743, 13.67, 145, 6122, 56.99
AUROPHARMA, EQ, 10-Jun-2019, 619.40, 622.35, 629.50, 616.45, 628.00, 627.15, 623.88, 1835124, 11448.93, 42500, 481594, 26.24
AUSOMENT, EQ, 10-Jun-2019, 33.90, 36.30, 40.65, 36.30, 40.65, 40.65, 39.46, 15840, 6.25, 205, 9736, 61.46
AUTOAXLES, EQ, 10-Jun-2019, 1127.65, 1127.65, 1145.95, 1097.00, 1106.00, 1101.20, 1110.01, 7285, 80.86, 1248, 4707, 64.61
AUTOIND, EQ, 10-Jun-2019, 46.75, 46.80, 47.75, 46.10, 47.00, 46.85, 46.86, 12259, 5.74, 78, 9041, 73.75
AUTOLITIND, BZ, 10-Jun-2019, 28.80, 30.20, 30.20, 29.15, 29.50, 29.50, 29.86, 1720, 0.51, 16, -, -
AVADHSUGAR, EQ, 10-Jun-2019, 717.05, 731.00, 748.40, 707.10, 716.80, 716.05, 726.53, 101175, 735.07, 4109, 28152, 27.83
AVANTIFEED, EQ, 10-Jun-2019, 359.15, 361.80, 364.90, 350.35, 351.05, 351.95, 355.24, 292410, 1038.77, 8358, 71893, 24.59
AVG, SM, 10-Jun-2019, 101.50, 100.00, 103.90, 99.00, 103.90, 103.90, 101.36, 9600, 9.73, 6, 4800, 50.00
AVTNPL, EQ, 10-Jun-2019, 25.25, 25.30, 26.70, 24.90, 26.00, 25.80, 25.74, 88534, 22.79, 391, 58037, 65.55
AXISBANK, EQ, 10-Jun-2019, 804.00, 807.40, 816.75, 807.40, 815.00, 814.15, 811.78, 5923875, 48089.02, 90022, 2679641, 45.23
AXISCADES, EQ, 10-Jun-2019, 65.65, 66.90, 68.00, 66.00, 66.05, 67.30, 67.08, 387065, 259.63, 1769, 67493, 17.44
AXISGOLD, EQ, 10-Jun-2019, 2869.40, 2868.85, 2889.90, 2854.95, 2869.00, 2869.00, 2869.41, 233, 6.69, 67, 153, 65.67
AXISNIFTY, EQ, 10-Jun-2019, 1214.96, 1218.35, 1227.35, 1215.02, 1215.02, 1215.02, 1220.77, 50, 0.61, 15, 27, 54.00
AYMSYNTEX, EQ, 10-Jun-2019, 35.50, 36.65, 37.00, 34.00, 35.95, 35.25, 35.37, 2566, 0.91, 57, 1345, 52.42
BAFNAPHARM, BE, 10-Jun-2019, 9.10, 9.10, 9.10, 8.65, 8.65, 8.65, 8.66, 3761, 0.33, 41, -, -
BAGFILMS, EQ, 10-Jun-2019, 4.00, 4.00, 4.10, 3.80, 3.90, 3.85, 3.91, 104017, 4.06, 158, 76010, 73.07
BAJAJ-AUTO, EQ, 10-Jun-2019, 2961.40, 2976.00, 2999.00, 2963.60, 2986.20, 2989.80, 2984.27, 155660, 4645.31, 12695, 38716, 24.87
BAJAJCON, EQ, 10-Jun-2019, 334.60, 332.30, 339.00, 332.30, 335.95, 336.10, 336.77, 34890, 117.50, 2094, 22629, 64.86
BAJAJELEC, EQ, 10-Jun-2019, 519.55, 520.25, 526.15, 512.00, 512.55, 513.90, 517.20, 72394, 374.42, 3907, 25144, 34.73
BAJAJFINSV, EQ, 10-Jun-2019, 8202.35, 8260.00, 8360.00, 8226.70, 8290.00, 8304.45, 8310.04, 186362, 15486.75, 21366, 61037, 32.75
BAJAJHIND, EQ, 10-Jun-2019, 8.65, 8.75, 8.90, 8.50, 8.65, 8.65, 8.71, 1366827, 119.10, 1768, 717844, 52.52
BAJAJHLDNG, EQ, 10-Jun-2019, 3609.35, 3611.00, 3677.95, 3575.00, 3645.00, 3658.05, 3629.24, 41366, 1501.27, 6316, 22239, 53.76
BAJFINANCE, EQ, 10-Jun-2019, 3509.45, 3546.95, 3557.75, 3506.00, 3518.00, 3519.60, 3528.94, 983274, 34699.17, 63814, 206327, 20.98
BALAJITELE, EQ, 10-Jun-2019, 68.70, 69.20, 71.05, 69.00, 70.50, 69.95, 70.43, 23045, 16.23, 446, 13546, 58.78
BALAMINES, EQ, 10-Jun-2019, 398.75, 402.50, 404.95, 396.05, 400.00, 399.80, 399.85, 33016, 132.01, 683, 26897, 81.47
BALAXI, BE, 10-Jun-2019, 98.00, 102.90, 102.90, 102.90, 102.90, 102.90, 102.90, 1228, 1.26, 25, -, -
BALKRISHNA, EQ, 10-Jun-2019, 34.50, 34.45, 35.00, 33.50, 33.50, 33.50, 34.07, 4413, 1.50, 79, 3072, 69.61
BALKRISIND, EQ, 10-Jun-2019, 787.55, 790.00, 796.00, 772.00, 793.05, 792.60, 784.18, 471027, 3693.69, 21415, 130683, 27.74
BALLARPUR, EQ, 10-Jun-2019, 2.20, 2.15, 2.20, 2.00, 2.00, 2.05, 2.09, 1041831, 21.80, 378, 788731, 75.71
